,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
6154,ксирый,171.0,0.0,0.0,398.0,54.0,0.0,50.0,470.0,10.0,0.0,486.0,607.0,198.0,432.0,0.0,40.0,81.0,0.0,0.0,94.0,0.0,53.0,0.0,3.0,208.0,0.0,919.0,214.0,357.0,0.0,58.0,819.0,5.0,3.0,31.0,36.0,0.0,101.0,5898.0
5709,зариф,198.0,0.0,0.0,291.0,104.0,0.0,23.0,360.0,17.0,0.0,434.0,360.0,206.0,184.0,16.0,13.0,70.0,1.0,0.0,46.0,0.0,45.0,0.0,13.0,161.0,0.0,1210.0,189.0,683.0,0.0,62.0,1027.0,4.0,63.0,5.0,38.0,2.0,70.0,5895.0
4426,дима,188.0,0.0,140.0,289.0,269.0,29.0,82.0,526.0,35.0,0.0,40.0,169.0,1994.0,110.0,30.0,67.0,306.0,17.0,0.0,175.0,0.0,124.0,0.0,0.0,35.0,3.0,184.0,327.0,79.0,225.0,124.0,103.0,3.0,101.0,10.0,31.0,4.0,70.0,5889.0
1436,кличко,315.0,0.0,285.0,181.0,52.0,17.0,100.0,1115.0,24.0,0.0,204.0,434.0,336.0,436.0,2.0,23.0,210.0,0.0,0.0,20.0,0.0,121.0,0.0,3.0,231.0,0.0,603.0,143.0,362.0,135.0,44.0,163.0,11.0,32.0,52.0,24.0,0.0,202.0,5880.0
7402,инфо,27.0,10.0,4.0,653.0,758.0,0.0,122.0,52.0,96.0,0.0,166.0,300.0,158.0,120.0,682.0,292.0,32.0,16.0,0.0,945.0,0.0,9.0,0.0,1.0,215.0,0.0,39.0,60.0,21.0,0.0,352.0,21.0,8.0,0.0,408.0,290.0,9.0,13.0,5879.0
735,сеул,155.0,0.0,23.0,339.0,82.0,5.0,44.0,220.0,24.0,4.0,490.0,265.0,282.0,121.0,4.0,22.0,76.0,48.0,19.0,28.0,0.0,28.0,0.0,0.0,149.0,11.0,794.0,878.0,248.0,56.0,33.0,1293.0,8.0,28.0,14.0,50.0,4.0,25.0,5870.0
8390,куинджи,112.0,0.0,0.0,243.0,255.0,0.0,78.0,356.0,131.0,0.0,697.0,338.0,874.0,104.0,34.0,24.0,133.0,363.0,0.0,73.0,0.0,114.0,5.0,43.0,154.0,0.0,485.0,203.0,169.0,2.0,38.0,373.0,18.0,146.0,100.0,73.0,0.0,131.0,5869.0
4911,нотр,265.0,0.0,9.0,215.0,146.0,0.0,122.0,516.0,118.0,7.0,342.0,300.0,568.0,114.0,1.0,141.0,172.0,22.0,0.0,109.0,3.0,159.0,2.0,17.0,299.0,0.0,786.0,287.0,243.0,27.0,112.0,268.0,11.0,127.0,67.0,37.0,0.0,255.0,5867.0
6933,нко,92.0,0.0,0.0,1353.0,165.0,0.0,81.0,134.0,22.0,6.0,413.0,187.0,511.0,77.0,70.0,86.0,63.0,200.0,0.0,163.0,0.0,16.0,0.0,1.0,86.0,0.0,477.0,323.0,189.0,2.0,160.0,714.0,22.0,19.0,67.0,146.0,0.0,20.0,5865.0
7655,цру,182.0,0.0,4.0,355.0,207.0,0.0,99.0,585.0,36.0,0.0,380.0,272.0,518.0,255.0,6.0,170.0,160.0,1.0,1.0,78.0,0.0,131.0,0.0,2.0,205.0,0.0,473.0,315.0,286.0,2.0,172.0,438.0,11.0,119.0,94.0,84.0,3.0,221.0,5865.0
6941,черногория,172.0,0.0,67.0,390.0,190.0,1.0,62.0,378.0,31.0,0.0,199.0,211.0,311.0,162.0,29.0,55.0,99.0,36.0,0.0,68.0,0.0,35.0,0.0,5.0,128.0,0.0,1372.0,536.0,240.0,127.0,108.0,646.0,7.0,28.0,39.0,53.0,4.0,71.0,5860.0
7394,вад,131.0,0.0,1399.0,103.0,700.0,169.0,315.0,56.0,2.0,0.0,1048.0,33.0,988.0,8.0,17.0,122.0,20.0,1.0,0.0,141.0,0.0,0.0,0.0,15.0,10.0,0.0,62.0,184.0,12.0,18.0,161.0,38.0,0.0,43.0,42.0,5.0,0.0,16.0,5859.0
8708,кузьмин,134.0,0.0,196.0,788.0,157.0,6.0,276.0,466.0,23.0,8.0,248.0,141.0,962.0,122.0,59.0,79.0,65.0,81.0,1.0,133.0,0.0,84.0,0.0,1.0,241.0,0.0,246.0,259.0,96.0,281.0,120.0,378.0,1.0,25.0,65.0,72.0,13.0,30.0,5857.0
4154,гсу,57.0,0.0,1.0,936.0,26.0,0.0,156.0,146.0,6.0,1.0,228.0,183.0,509.0,28.0,25.0,14.0,240.0,1184.0,0.0,104.0,0.0,47.0,0.0,0.0,144.0,0.0,484.0,449.0,210.0,4.0,14.0,501.0,1.0,16.0,16.0,22.0,0.0,89.0,5841.0
3082,холокост,180.0,0.0,2.0,310.0,192.0,0.0,33.0,313.0,17.0,4.0,182.0,421.0,267.0,360.0,21.0,45.0,183.0,52.0,0.0,134.0,5.0,108.0,0.0,15.0,112.0,0.0,962.0,297.0,255.0,9.0,295.0,677.0,1.0,207.0,26.0,51.0,0.0,104.0,5840.0
6368,биньямин,194.0,0.0,0.0,695.0,150.0,0.0,47.0,390.0,44.0,0.0,380.0,489.0,150.0,191.0,6.0,26.0,92.0,8.0,0.0,35.0,0.0,92.0,0.0,16.0,189.0,0.0,1004.0,142.0,316.0,0.0,135.0,723.0,5.0,143.0,18.0,41.0,0.0,111.0,5832.0
8353,абрам,157.0,0.0,19.0,628.0,114.0,0.0,100.0,388.0,33.0,2.0,361.0,269.0,849.0,98.0,4.0,76.0,196.0,27.0,2.0,98.0,0.0,76.0,3.0,4.0,277.0,0.0,298.0,392.0,205.0,114.0,131.0,382.0,84.0,47.0,55.0,270.0,1.0,68.0,5828.0
2668,сколково,118.0,1.0,0.0,952.0,52.0,0.0,56.0,123.0,10.0,48.0,116.0,219.0,389.0,79.0,4.0,44.0,52.0,360.0,2.0,10.0,0.0,31.0,0.0,2.0,127.0,12.0,486.0,611.0,29.0,2.0,46.0,1322.0,31.0,81.0,36.0,348.0,8.0,19.0,5826.0
7205,iv,131.0,1.0,2.0,497.0,52.0,0.0,90.0,129.0,9.0,14.0,466.0,361.0,535.0,111.0,3.0,24.0,73.0,573.0,39.0,34.0,42.0,45.0,11.0,0.0,84.0,28.0,493.0,475.0,144.0,3.0,38.0,756.0,6.0,18.0,16.0,401.0,55.0,57.0,5816.0
3097,рт,73.0,0.0,1.0,469.0,103.0,0.0,45.0,604.0,8.0,0.0,232.0,321.0,629.0,23.0,7.0,17.0,16.0,63.0,1.0,4.0,0.0,9.0,0.0,2.0,2178.0,0.0,179.0,358.0,66.0,4.0,13.0,216.0,6.0,9.0,13.0,125.0,1.0,19.0,5814.0
4925,башкортостан,98.0,1.0,26.0,1491.0,64.0,0.0,31.0,152.0,19.0,0.0,117.0,533.0,1212.0,114.0,42.0,8.0,48.0,111.0,0.0,26.0,0.0,37.0,0.0,4.0,159.0,0.0,279.0,512.0,95.0,49.0,31.0,426.0,1.0,13.0,20.0,18.0,25.0,51.0,5813.0
4650,кибератака,182.0,0.0,0.0,514.0,175.0,0.0,76.0,568.0,25.0,3.0,463.0,352.0,297.0,166.0,23.0,65.0,52.0,28.0,2.0,72.0,1.0,55.0,0.0,5.0,326.0,1.0,675.0,193.0,397.0,3.0,120.0,608.0,18.0,86.0,76.0,98.0,0.0,84.0,5809.0
355,высоцкий,157.0,0.0,7.0,245.0,1994.0,0.0,32.0,235.0,10.0,0.0,102.0,216.0,1017.0,39.0,4.0,38.0,237.0,81.0,0.0,83.0,0.0,42.0,0.0,0.0,21.0,0.0,142.0,414.0,81.0,8.0,150.0,258.0,0.0,92.0,11.0,30.0,8.0,42.0,5796.0
1653,мутко,145.0,0.0,52.0,601.0,134.0,9.0,75.0,282.0,66.0,0.0,368.0,315.0,390.0,212.0,6.0,39.0,91.0,34.0,0.0,46.0,0.0,78.0,0.0,41.0,224.0,0.0,416.0,302.0,131.0,108.0,35.0,1186.0,11.0,114.0,41.0,157.0,2.0,81.0,5792.0
4237,рауф,158.0,0.0,2.0,559.0,286.0,0.0,95.0,316.0,142.0,0.0,687.0,288.0,825.0,174.0,57.0,48.0,116.0,112.0,0.0,88.0,0.0,90.0,0.0,28.0,199.0,0.0,456.0,181.0,171.0,3.0,74.0,240.0,11.0,72.0,99.0,111.0,0.0,103.0,5791.0
7114,сента,89.0,0.0,259.0,357.0,51.0,39.0,21.0,1316.0,9.0,16.0,144.0,368.0,238.0,141.0,1.0,33.0,24.0,13.0,4.0,12.0,13.0,20.0,5.0,3.0,46.0,5.0,196.0,275.0,39.0,1703.0,15.0,254.0,3.0,8.0,13.0,30.0,5.0,18.0,5786.0
7571,диана,175.0,0.0,90.0,462.0,59.0,9.0,68.0,907.0,33.0,3.0,52.0,182.0,1333.0,166.0,29.0,92.0,144.0,40.0,8.0,130.0,2.0,213.0,18.0,1.0,44.0,1.0,290.0,399.0,81.0,120.0,159.0,244.0,2.0,60.0,36.0,45.0,1.0,86.0,5784.0
5560,шарапов,210.0,0.0,179.0,460.0,148.0,159.0,76.0,2010.0,27.0,0.0,319.0,214.0,303.0,167.0,8.0,59.0,26.0,66.0,0.0,12.0,0.0,53.0,0.0,0.0,9.0,0.0,23.0,431.0,75.0,573.0,10.0,50.0,0.0,27.0,30.0,24.0,0.0,29.0,5777.0
4518,генассамблея,214.0,0.0,0.0,340.0,116.0,0.0,63.0,394.0,33.0,0.0,608.0,658.0,201.0,128.0,0.0,14.0,132.0,7.0,0.0,32.0,0.0,74.0,0.0,31.0,166.0,0.0,767.0,216.0,336.0,2.0,25.0,837.0,1.0,152.0,36.0,21.0,0.0,171.0,5775.0
6687,брикс,125.0,0.0,0.0,647.0,9.0,0.0,18.0,178.0,15.0,1.0,144.0,358.0,384.0,53.0,1.0,4.0,65.0,28.0,0.0,12.0,0.0,37.0,0.0,19.0,106.0,0.0,1099.0,419.0,159.0,0.0,14.0,1511.0,1.0,235.0,13.0,25.0,1.0,89.0,5770.0
6626,баку,233.0,0.0,283.0,435.0,98.0,3.0,34.0,540.0,19.0,5.0,294.0,282.0,501.0,166.0,7.0,20.0,80.0,63.0,5.0,56.0,0.0,54.0,1.0,6.0,115.0,2.0,741.0,324.0,102.0,329.0,69.0,677.0,0.0,91.0,13.0,28.0,5.0,89.0,5770.0
